V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_incom,demo_class,demo_educa_1,demo_educa_2,demo_educa_3,Q17_1,Q19_1,Q19_2,ethnic_id,ethnic_id_TEXT,ethnic_id1,ethnic_id2,ethnic_id3,attn,ethnic_id4,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q63,j_training,j_training_TEXT,Q48,Q50,summary,headline,writing,include,pagenum,Q35,age,credible,status,ambitious,attn2,hardwork,emphasis,hypo_1,hypo_2,hypo_3,hypo_4,hypo_5,hypo_6,hypo_7,hypo_8,hypo_9,Q54,Q62_1,Q62_2,Q62_3,Q66,Q65,Q64,DO-BR-FL_15,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_3R8ATRRRtHoVBFR,Default Response Set,Anonymous,,,184.156.10.172,0,7/2/2015 15:03,7/2/2015 15:22,1,1,1,A3SYE52V5C9WVL,58,1,1,1,,,,,4,3,6,6,6,5,6,2,3,,6,2,2,5,4,2,2,1,7,3,6,3,7,4,6,1,3,1,3,2,2,1,1,3,1,2,3,1,2,2,4,4,6,7,6,6,7,5,6,6,4,3,2,1,1,,1,,Dr Mendez has discovered that injection of a mutated cold virus into a melanoma would cure 74% of the melanoma's.  Dr Mendez's father died from melanoma which made Dr Mendez want to work in this field.,Skin Cancer Cure Discovery,6,7,2 or 3,1,3,7,6,6,3,7,2,4,4,5,4,4,5,4,5,6,1,7,7,7,1,1,1,target does something good,2|6|3|8|14|1|11|7|15|9|16|5|12|4|10|13,30.38800049,-87.71990204,-1
R_2zUsmeWAEr8gVV9,Default Response Set,Anonymous,,,191.101.56.36,0,7/2/2015 15:00,7/2/2015 15:35,1,1,1,AU1XRFGN560AW,38,2,1,1,,,,,5,3,9,9,9,7,7,7,3,,6,6,7,5,6,6,3,7,8,7,7,7,7,7,7,3,2,3,2,3,2,3,2,3,3,2,3,6,6,7,6,5,6,,6,5,7,6,6,6,6,6,7,1,1,,,,"In Washington D.C ,Dr.Alex Mendez a researcher in George Washington University  Medical School, / research  melanoma a type of  skin cancer. Estimated that nearly 74,000 american well diagnosed have melanoma .Melanoma killed nearly 10,000 people .finding treatment is to save thousand people.They have been experimenting for almost 2 years by injecting direct to the skin of have melanoma hope their revolutionary treatment will teach the body to  heal itself.",AU1XRFGN560AW,7,6,Front page,1,4,7,7,7,3,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,1,1,1,target does something neutral,14|5|4|9|12|3|16|8|7|1|13|2|15|11|6|10,41.8500061,-87.65000153,-1
R_1LdK3Bo4HIWUMta,Default Response Set,Anonymous,,,108.171.132.189,0,7/2/2015 15:56,7/2/2015 16:12,1,1,1,A2JB6Y8YPN0SKP,35,2,1,1,,,,,4,2,6,5,6,2,2,1,3,,5,3,6,5,5,2,3,6,8,8,8,1,6,7,3,3,3,3,2,2,3,2,1,2,3,2,3,1,1,2,1,7,6,7,1,1,1,1,1,7,7,7,7,1,1,,1,,"Dr. Mendez has concluded a clinical trial of a new treatment for melanoma which shows great promise, eliminating traces of the disease in up to 78% of trial participants.  In addition to being a professional accomplishment, this is a personal victory for Dr. Mendez because his loved ones have been affected by melanoma.",New treatment for melanoma could save lives,5,6,1,1,4,6,7,6,,7,4,4,4,2,4,3,3,4,4,4,1,5,7,5,1,1,1,target does something good,13|12|10|5|11|9|4|6|14|3|1|15|2|7|16|8,32.78309631,-96.80670166,-1
R_rdKLAjeqbnBT3jz,Default Response Set,Anonymous,,,96.255.40.154,0,7/2/2015 16:12,7/2/2015 16:21,1,1,1,A1NTUKJYOOPIRB,20,2,1,,,1,,,7,4,5,8,8,2,3,1,3,,3,2,4,5,2,3,7,7,4,7,7,3,6,7,7,2,3,3,3,2,2,1,1,2,2,2,3,3,2,2,1,7,7,7,6,1,2,1,7,6,7,6,7,1,1,,,1,A treatment for melanoma was found but the dr. fabricated the data and left others very dissapointed.,Promising Cure For Melanoma Turns Up Fabricated,6,5,2,1,3,2,5,4,3,3,4,4,4,6,4,6,3,4,5,4,1,4,6,5,1,1,1,target does something bad,15|7|10|3|13|2|8|6|9|4|5|1|16|14|11|12,38.77909851,-76.77940369,-1
R_6o0ZGKR98hIhHp3,Default Response Set,Anonymous,,,68.14.79.202,0,7/2/2015 16:06,7/2/2015 16:28,1,1,1,A5E61NWI5BX46,26,2,1,,,,1,1,3,3,5,6,6,4,5,4,3,,3,3,2,5,4,6,6,6,8,6,6,8,4,6,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,7,7,7,7,2,2,3,3,7,6,6,5,1,1,,,,"Dr. Mendez, son of a melanoma victim, discovers controversial new vaccine in the form of dead cold virus injections.  /  / Headline: Doctor, Son of Melanoma Victim, Pioneers Controversial Cold Virus Injection Cure",A5E61NWI5BX46,5,6,page 2,1,2,6,4,4,3,7,5,3,3,2,3,2,5,4,,4,1,7,7,7,1,1,1,target does something neutral,14|11|10|15|2|13|16|12|6|3|5|7|4|9|1|8,41.76939392,-71.46759796,-1
R_1dgKZAWzflABjyQ,Default Response Set,Anonymous,,,107.220.251.68,0,7/2/2015 16:25,7/2/2015 16:33,1,1,1,A2UMWP1MXI76PT,39,1,1,1,,,,,4,3,9,4,2,5,5,4,3,,2,1,2,5,3,4,6,4,8,3,4,4,8,4,7,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,6,6,4,,4,4,4,4,4,4,4,1,2,I spent time as a news photographer,,1,Doc falsified an article saying he had figured out a way to cure melanoma in 78% of patients,George Washington University Doctor Falsifies Research Findings,4,4,1,1,3,4,7,6,3,6,3,4,2,2,4,4,4,4,6,4,1,7,7,6,1,1,1,target does something bad,16|5|15|11|2|7|8|4|12|14|3|9|10|13|6|1,34.67340088,-82.19979858,-1
R_3iQgFCl0KAgjAzr,Default Response Set,Anonymous,,,172.56.27.245,0,7/2/2015 16:15,7/2/2015 16:34,1,1,1,A31JJOVFRR589W,21,2,1,1,,,,,3,3,5,5,3,4,3,7,3,,7,7,6,5,7,8,7,7,8,6,7,3,8,1,6,2,2,3,3,2,3,2,1,3,2,2,2,6,1,4,6,7,6,7,6,2,7,2,7,6,6,6,6,1,1,,1,,"A student found A cure for melanoma, the disease that killed his father, Juan Mendez. He went to George Washington College and he might he the the popular student to attend.",Son finds cure for Fathers Deadly Disease,7,7,Cover,1,2,7,7,7,3,7,4,2,2,1,2,2,3,2,2,2,1,7,7,7,1,1,1,target does something good,9|11|10|6|14|15|8|16|13|12|4|1|3|7|5|2,26.15339661,-80.22489929,-1
R_22srvC0rLX7W5qx,Default Response Set,Anonymous,,,74.107.96.135,0,7/2/2015 16:26,7/2/2015 16:50,1,1,1,AX1LM6K8B7J32,39,1,1,1,,,,,7,3,9,5,5,5,6,5,3,,6,4,3,5,4,3,6,6,3,7,7,6,7,3,6,2,3,1,2,3,1,3,1,2,3,2,3,1,1,4,1,6,6,6,6,2,3,3,2,6,5,5,5,1,1,,,,"A researcher is in the initial stages of new research on treatment for melanoma.  Results will not be available for a few years.  Although some in the community are skeptical, the researcher has supporters too as he looks to create a cure for a disease that took his father.  ",Revolutionary Skin Cancer Cure Sought,4,5,Health,1,2,6,5,6,3,6,4,1,1,1,2,2,4,4,1,4,1,7,7,7,1,1,1,target does something neutral,15|9|12|10|7|13|2|8|3|16|5|6|11|1|4|14,39.05099487,-76.72850037,-1
R_sdQ5XVlhgv0nII1,Default Response Set,Anonymous,,,192.136.174.194,0,7/2/2015 16:46,7/2/2015 16:57,1,1,1,AAGGGAJDJLZE4,42,2,1,1,,,,,4,2,6,4,4,5,6,6,3,,6,1,3,5,2,2,3,6,6,7,6,2,6,2,7,3,2,2,1,2,2,1,1,2,3,2,3,1,5,6,1,6,4,3,2,6,5,7,6,5,2,4,2,1,1,,,,"Dr Mendez is working to find a cure for melanoma, a deadly form of skin cancer. His cure involves use of a mutated form of the cold virus. Of course, his work is controversial in the scientific community. His work is inspired by his father, who suffered from melanoma.",Mutated Cold Virus May Cure Cancer,7,6,3,1,2,4,4,6,3,7,3,4,4,4,4,4,4,4,4,4,1,7,7,7,1,1,1,target does something neutral,16|5|15|2|4|1|12|6|3|8|14|7|11|10|9|13,44.5677948,-69.21900177,-1
R_1rpFFZYKTRpzTeF,Default Response Set,Anonymous,,,97.92.118.127,0,7/2/2015 16:51,7/2/2015 17:04,1,1,1,A11S23L77L9PEP,35,2,1,1,,,,,6,3,9,4,5,4,4,4,3,,4,4,4,5,4,6,6,7,6,7,8,3,8,2,4,2,3,3,3,2,2,1,1,3,2,2,2,3,2,4,2,6,7,2,,2,3,3,3,6,6,6,6,1,1,,1,,"There is a possible new cure for melanoma, which many people die from each year.  Research has shown that if a cold virus is injected into a patient's skin the melanoma goes away.  A Mexican American discovered this and is very excited about this positive progress towards a cure. /  / **I wasn't sure where I was suppose to put this headline. / Headline:  Ahem...A cold virus may be the answer to curing Melanoma",A11S23L77L9PEP,5,5,1,1,3,5,5,7,3,7,4,4,4,4,4,4,4,4,4,4,1,7,7,7,1,1,1,target does something good,6|11|5|15|1|3|9|16|8|12|10|13|4|2|7|14,46.4822998,-90.15399933,-1
R_24bIWxaexHj5suX,Default Response Set,Anonymous,,,104.10.173.171,0,7/2/2015 16:53,7/2/2015 17:05,1,1,1, A2C6PQ280R0OOV,27,2,1,,,,1,,4,3,5,5,5,1,2,2,3,,4,3,5,5,5,6,6,7,6,4,6,2,3,6,2,2,3,3,2,2,3,2,1,2,3,1,2,1,2,2,2,6,6,1,5,2,2,2,2,6,6,5,2,1,1,,,1,A scientist named Mendez falsified a study that said the influenza virus could be injected into skin lesions as a way to treat melonoma. ,Treat Skin Cancer with the Flu? Too Good to be True.,3,4,3,1,2,2,2,6,3,3,5,2,3,2,3,3,5,3,4,4,1,6,7,6,1,1,1,target does something bad,6|13|14|8|9|1|2|7|15|12|10|5|4|11|3|16,34.58729553,-118.2453995,-1
R_9vNvez5aUYxCxdT,Default Response Set,Anonymous,,,104.148.162.206,0,7/2/2015 16:52,7/2/2015 17:06,1,1,1,A37SRHEYTK0GIH,27,2,1,,1,,,,3,3,6,6,6,2,2,2,1,,4,4,4,5,2,7,1,2,8,3,8,1,8,1,6,2,3,3,3,3,2,2,1,2,1,2,3,1,1,1,1,7,7,7,4,1,1,7,1,7,7,7,7,1,1,,,,"This article was about Dr. Mendexz, a doctor who is searching for the cure for Melanoma. He is attempting to inject a mutated version of the cold virus directly into the lesion to cure it. So far he is in the midst of a clinical trial and although they have not reached any conclusions yet are very positive about the outcome. There are mixed opinions about the plausible success of Dr. Mendez hypothetical treatment.",Chasing Melanoma : The Race for a cure,7,7,Second Page,1,2,7,5,7,3,7,4,3,3,1,4,4,1,3,3,4,1,7,7,7,1,1,1,target does something neutral,14|3|5|6|1|12|13|10|4|16|11|7|2|9|15|8,40.64489746,-73.95829773,-1
R_3qFDoigvV6SThCR,Default Response Set,Anonymous,,,173.57.227.22,0,7/2/2015 16:43,7/2/2015 17:09,1,1,1,ACR4KARO1LRP9,44,2,1,1,,,,,7,3,9,6,6,5,6,4,3,,1,1,1,5,2,2,3,3,7,8,6,7,8,1,6,2,3,3,1,2,3,1,1,3,1,1,3,1,2,2,1,7,7,7,6,2,6,4,5,7,5,6,6,1,1,,1,,Many people suffer from melanoma and scientist may have found a cure.  Injecting a mutated cold virus into the melanoma has helped treat it while teaching the body to heal itself.  ,Mutated Cold Virus cures melanoma as it teaches the body to heal itself ,6,6,science/medicine middle,1,4,6,6,7,3,7,6,4,4,4,4,4,4,4,4,4,1,7,7,7,1,1,1,target does something good,15|3|7|13|6|11|2|9|14|10|1|8|4|16|12|5,33.02940369,-97.0687027,-1
R_2PtKGt3vbmG0hrr,Default Response Set,Anonymous,,,173.193.200.124,0,7/2/2015 16:50,7/2/2015 17:12,1,1,1,A1DMP00EQYW34E,25,2,1,,,,,1,4,3,5,2,2,4,4,4,3,,5,2,5,5,5,6,4,6,7,2,7,2,7,1,4,1,3,3,3,1,3,1,1,3,2,1,3,5,5,6,5,3,2,4,4,3,2,4,4,4,3,4,4,1,1,,,,"There is a study that is being done that has the possibility to cure melanoma.  The researcher on this cure lost his father to melanoma when he was in his teens, so this is important research for him.",Is there a possible cure for melanoma?,6,6,Second page,1,2,5,5,7,3,6,2,4,4,1,3,4,3,4,2,4,1,7,7,7,1,1,1,target does something neutral,9|8|14|6|3|13|1|10|4|11|12|16|7|5|15|2,38.89430237,-77.43109894,-1
R_2164QQlceo2FV07,Default Response Set,Anonymous,,,174.55.190.221,0,7/2/2015 16:51,7/2/2015 17:16,1,1,1,A3B1G0N04NKQ27,21,2,1,,1,1,,,7,3,5,9,9,2,4,1,3,,1,2,1,5,5,6,2,8,7,6,7,6,2,3,2,3,3,2,2,1,2,3,2,2,3,2,3,1,1,2,1,6,7,6,1,1,1,1,1,5,7,7,7,1,1,,,,"Melanoma is a type of skin cancer that effects millions each year. Doctors have been trying to find a cure for this awful disease for years. Dr. Mendez has a new approach to fighting melanoma. Many doctors disagree with his new methods of treatment.  /  / New Treatment for Melanoma, Although Controversial, May Prove Successful",A3B1G0N04NKQ27,4,5,2,1,3,4,5,5,3,5,5,3,3,3,4,4,5,5,5,4,1,5,6,4,1,1,1,target does something neutral,5|13|3|16|15|14|6|10|1|11|12|7|2|9|4|8,41.39880371,-76.79219818,-1
R_3iKg9wjYfG4QVnw,Default Response Set,Anonymous,,,104.174.86.13,0,7/2/2015 17:04,7/2/2015 17:22,1,1,1,A3HZLVRUTQC2G6,33,2,1,,,,,1,5,3,6,2,2,4,5,2,4,,3,5,7,5,3,2,3,6,6,7,7,1,3,6,3,3,2,3,3,1,3,3,2,3,2,2,3,1,1,1,1,7,7,7,7,1,1,1,2,7,7,7,7,1,1,,,1,"Research Doctor admits to falsifying data on his melanoma study. The admission was surprising considering the doctor's father died of the cancer. Other doctors began to question the results, when they attempted the same experiment and did no have the same results, which led to the admission of false data.  ",Doctor whose father died of melanoma admits to falsifying data in his own study,4,5,Page 2,1,3,4,6,7,3,4,2,4,4,2,5,5,6,7,4,6,1,6,6,6,1,1,1,target does something bad,6|7|15|9|13|14|10|16|3|2|1|4|8|11|5|12,33.84030151,-118.3538971,-1
R_1NsurrI1P893tKk,Default Response Set,Anonymous,,,71.81.183.127,0,7/2/2015 16:30,7/2/2015 17:24,1,1,1,A2Q09CXIRB9PCV,23,2,1,1,,,1,,4,3,6,4,6,2,3,2,7,Black and Chinese,6,7,7,5,6,3,1,6,7,6,8,4,6,3,6,2,3,3,3,3,3,2,2,2,2,2,3,1,1,2,5,6,7,7,2,1,5,1,1,5,7,6,7,1,1,,1,,"Dr. Alex Mendez made a breakthrough and developed what could be a valuable cure for the skin cancer, melanoma. If this treatment starts being widely used, it can save thousands of lives in the United States every year. Mendez has received stellar praise and recognition for his efforts. ",Lifechanging progress for medical research: Dr. Mendez developed a possible cure for skin cancer,7,7,1,1,3,7,7,7,3,7,4,4,4,5,4,4,4,4,4,4,1,7,7,7,1,1,1,target does something good,7|15|16|9|3|6|8|13|4|1|10|12|11|2|14|5,32.65859985,-97.38420105,-1
R_2qaxCZ7LL6zV72C,Default Response Set,Anonymous,,,99.173.138.160,0,7/2/2015 17:02,7/2/2015 17:26,1,1,1,A26RLOGVCCQFF6,56,2,1,1,,,,,6,3,5,2,2,5,6,6,3,,6,6,6,5,6,8,2,1,7,1,7,2,7,2,7,2,3,3,2,1,2,1,3,2,2,2,3,5,4,5,4,4,3,4,4,3,5,4,4,4,4,3,3,1,1,,1,,A possible cure for melanoma has been discovered. Injecting a mutated cold virus directly into the lesions eliminated melanoma in 78% of the patients in the trial. The treatment is one that teaches the body to heal itself.,Possible Melanoma Cure,6,7,1,1,3,7,6,7,3,7,4,6,5,6,6,6,6,6,6,6,1,7,7,7,1,1,1,target does something good,5|7|2|12|11|8|10|3|14|6|16|13|15|1|4|9,33.10920715,-87.53919983,-1
R_1dnKvf8MlWYOmLv,Default Response Set,Anonymous,,,67.100.124.62,0,7/2/2015 18:13,7/2/2015 18:30,1,1,1,A1JDDBMSI4TBXN,40,2,1,,,,,1,1,1,6,4,4,1,2,1,3,,6,5,5,5,5,2,7,7,2,8,7,6,7,2,4,2,3,3,1,1,3,1,1,3,1,2,2,1,2,2,2,7,6,6,6,1,2,2,5,6,6,6,6,1,1,,,1,A research doctor falsifies data to make it look like he had found a viable option in curing patients with melanoma cancer.  He stated that over 70% of his patients reacted well to treatment when in fact the treatment did not work.  ,Doctors deceit and deception disgusts medical community,4,5,5,1,2,4,5,7,3,3,3,2,3,3,4,4,4,4,4,3,1,6,7,6,1,1,1,target does something bad,13|10|14|4|7|15|3|9|12|2|1|5|11|8|6|16,47.71569824,-122.3009949,-1
R_263CnnPkp2PdWmd,Default Response Set,Anonymous,,,74.138.18.17,0,7/2/2015 18:38,7/2/2015 18:44,1,1,1,A2I7HUU01015VZ,19,2,1,,,,,1,1,3,5,8,5,1,1,1,3,,7,7,5,5,4,2,6,8,7,7,8,7,8,1,1,1,3,3,3,3,2,1,3,3,3,3,2,1,1,1,1,6,6,6,7,1,6,1,1,7,7,6,6,1,1,,,,"This article is about a physician who does research on melanoma, a vicious form of skin cancer. Although his treatment hasn't been proven yet, it receives mixed reviews from the medical community",Possible breakthrough for deadly cancer,7,7,3,1,3,7,7,7,3,6,4,2,2,2,4,4,4,4,2,2,1,7,7,7,1,1,1,target does something neutral,2|3|9|14|13|10|5|4|6|8|16|7|12|15|11|1,37.99519348,-84.36889648,-1
