V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_income,demo_class,demo_educa_1,pol_party_1,pol_attitu_1,pol_attitu_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,Q63,j_training,j_training_TEXT,Q44,Q60_1,Q60_2,Q60_3,Q60_4,Q45,Q59_1,Q59_2,Q59_3,Q59_4,summary,headline,writing,include1,include2,include3,include4,include5,include6,pagenum,Q35,status,rep1,rep3,rep2,ambitious,competent,attn2,hardwork,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,similar,attention_1,attention_2,attention_3,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_53,DO-BR-FL_125,DO-BR-FL_115,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_2wHXrriqCaFyOed,Default Response Set,Anonymous,,,172.72.43.240,0,5/20/2016 16:59,5/20/2016 17:17,1,1,1,A1SLJKNSNHOJRN,32,1,1,,1,,,,3,2,6,1,4,2,3,,4,3,5,3,2,4,3,6,7,4,3,4,7,1,2,2,1,7,6,1,6,2,3,2,2,7,6,7,5,2,3,3,2,1,3,1,1,2,2,2,3,1,1,,1,0,0,92.159,0,,,,,,"a L.A. mixed medium artist named (Sullivan) art exhibit is about to open. The piece gives some biography on the artist. He lived with his mother until she passed away when he was in the first grade. He moved to Portland with his father and then went to UCLA where he was one of the best art students. His work is about the ""process of poverty."" ","The ""process of poverty:"" One man's art and the very personal story that created it. ",4,6,5,4,3,6,6,3,1,4,5,6,6,5,7,3,6,3,3,3,4,4,3,3,2,7,7,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,5|3|10|11|8|16|1|2|4|13|12|7|14|9|15|6,35.17070007,-80.79199982,-1
R_2tbMBxEI2ZunPsi,Default Response Set,Anonymous,,,108.242.223.13,0,5/20/2016 16:51,5/20/2016 17:26,1,1,1,A36O6HV8LCXLJR,65,1,1,1,,,,,3,3,6,4,7,3,3,,2,1,5,2,1,1,8,6,7,1,8,1,8,1,7,7,4,1,7,1,7,7,7,4,7,1,1,7,1,1,3,2,1,2,1,1,1,3,1,1,3,1,1,,,,,,,1,12.911,74.448,109.42,2,A 27 year old LA native was convicted of art forgery after duping gallery owners with his paintings. He faces up to 10 years in prison.,Poor Painter's Phony Paintings Produce Profits and Prison,4,3,1,1,1,1,1,Human interest,1,2,5,5,3,5,5,3,4,4,4,4,3,3,3,3,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,13|16|14|3|8|1|9|5|2|11|10|4|12|6|15|7,35.16130066,-101.8789978,-1
R_2yfJF5abD9MQMjD,Default Response Set,Anonymous,,,76.23.203.232,0,5/20/2016 17:38,5/20/2016 17:53,1,1,1,A2H0UIAN01HTNK,31,2,1,1,,,,,6,2,1,1,1,1,3,,1,1,5,8,1,1,8,1,8,1,4,1,8,1,1,1,1,7,7,7,1,1,1,1,1,7,7,7,7,2,3,3,3,1,2,1,1,1,2,2,2,1,1,,1,0,0,81.355,0,,,,,,"This was about a young artist that worked his way up to become an innovative and up and coming artist. He is 27 years old, graduated from UCLA and is already becoming critically acclaimed. ",From Sidewalk Chalk to Canvas,6,5,7,3,1,4,4,Entertainment ,1,5,5,2,1,7,7,3,7,4,4,4,4,4,4,4,1,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,3|11|4|13|10|8|6|12|2|16|5|1|7|15|14|9,41.38459778,-73.09429932,-1
R_33sueT48ndbK6Oa,Default Response Set,Anonymous,,,73.212.201.206,0,5/20/2016 18:00,5/20/2016 18:07,1,1,1,A2AJ5QFNC9KF43,36,1,1,1,,,,,4,3,9,5,6,3,3,,2,2,5,8,3,2,7,1,6,1,3,6,6,2,2,3,3,4,6,6,6,2,2,3,3,5,5,5,5,1,2,1,1,1,1,1,1,2,1,2,3,1,1,,,,,,,1,0,0,47.541,0,"A young man who grew up in poverty was charged with forging over 60 pieces of fine art and selling them to art galleries for over $10,000. He is facing a lengthy jail sentence. ",From Rags to Forging Riches,4,6,5,5,6,6,5,In the back of the news section,1,2,1,6,4,5,6,3,5,5,5,5,5,5,5,5,2,7,7,7,1,1,1,FL_58,low Status,hypocat|hypoformative,,,14|10|9|3|4|12|8|15|2|16|5|11|7|1|6|13,39.3401947,-76.40260315,-1
R_2rqHjpb7j1nx3Nj,Default Response Set,Anonymous,,,72.80.35.27,0,5/20/2016 17:59,5/20/2016 18:08,1,1,1,A248TO3PTV0K5P,32,2,1,1,,,,,5,3,4,5,5,5,4,,5,5,5,6,2,1,6,6,7,1,7,1,7,2,2,2,1,4,5,7,2,2,2,2,3,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,1,0,0,56.044,0,A guy who never found his voice as an artist decided to start forging art. He was charged with over 60 counts of fine art forgery. ,Failed Artist Charged with Forgery,5,5,6,6,5,6,5,six,1,3,3,5,3,4,3,3,3,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,13|6|7|9|15|2|5|10|11|8|3|4|12|16|14|1,40.73539734,-73.87830353,-1
R_3F50H8AyJ11DqKG,Default Response Set,Anonymous,,,72.181.148.54,0,5/20/2016 17:58,5/20/2016 18:09,1,1,1,A130P4M9JPT4YA,46,1,1,1,,,,,4,3,9,3,5,1,3,,3,2,5,4,1,1,8,6,8,4,8,1,8,1,1,1,1,7,7,7,7,1,2,2,1,7,7,7,7,3,3,3,2,3,2,2,1,3,1,2,3,1,1,,,,,,,1,0,0,75.317,0,"A man from a troubled background, in reaction to the lack of critical reception to his original art, decided to make a living producing forgeries instead.  He sold the forged artwork to several galleries and is now facing jail time.",Local artist cons galleries with forged art.,6,6,7,5,6,7,7,3,1,1,5,2,4,5,7,3,6,3,3,3,5,4,3,3,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,11|15|12|2|6|1|3|13|9|5|14|10|8|16|4|7,32.83389282,-96.77149963,-1
R_d4n7NZdIKB9w3MR,Default Response Set,Anonymous,,,108.236.1.93,0,5/20/2016 17:58,5/20/2016 18:15,1,1,1,A255RBA8P0K0XV,31,1,1,1,,,,,4,3,6,4,6,2,1,,6,4,5,4,1,1,7,4,6,1,6,1,6,5,3,2,3,3,5,5,6,2,5,5,2,5,5,6,5,2,3,2,2,3,2,2,2,3,2,2,2,1,2,Delgado Community College,1,5.079,70.935,72.072,2,,,,,,"A young boy who grew up in the projects in Los Angeles, lost his mother at a young age and moved with his father to Portland, Oregon. ",The Process of Poverty from the Projects,5,5,6,5,5,5,5,1,1,5,5,2,5,6,5,3,5,2,2,2,2,2,2,2,2,7,7,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,7|12|15|16|8|1|10|6|11|9|14|3|13|4|5|2,29.92709351,-90.09729767,-1
R_cuR2Egi81Aa8f3X,Default Response Set,Anonymous,,,71.89.195.252,0,5/20/2016 17:59,5/20/2016 18:18,1,1,1,A1P8F5UBH6KAU2,50,1,1,,,,,1,1,1,5,4,6,3,3,,1,1,5,2,6,6,4,7,3,6,4,4,3,4,5,3,4,4,6,6,5,5,4,5,5,5,3,5,3,1,3,1,3,1,1,3,1,1,2,3,2,1,1,,1,1.268,95.755,121.836,4,,,,,,"It talks about Jordan Sullivan, a 27-year-old artist with an exhibition at the Hive.  His works depict urban poverty.  It talks about his childhood, how his mom died when he was in the first grade, then lived with his dad in Portland until graduating highschool, then attending UCLA.  His works are receiving critical acclaim. /  / ",The Hive to host acclaimed young artist Jordan Sullivan's gritty urban art.,6,6,2,3,3,5,6,"Page 3, or the front page of Arts & Entertainment",1,3,6,3,5,7,6,3,6,5,5,5,4,3,3,2,2,6,7,7,1,1,1,FL_109,,,high status,hypocat|hypoformative,8|6|16|13|10|11|2|12|14|4|9|7|1|3|5|15,42.37939453,-123.3983002,-1
R_prqwCvE3hoXhZ1T,Default Response Set,Anonymous,,,68.56.40.238,0,5/20/2016 18:07,5/20/2016 18:20,1,1,1,ANQ0RLFEZ17W0,25,2,1,,,1,,,4,2,5,2,3,3,3,,4,2,5,2,1,6,8,8,8,4,7,4,7,1,1,1,1,1,7,7,7,1,1,1,1,7,7,7,7,3,3,3,3,2,3,3,1,3,3,1,3,1,1,,1,0,0,129.452,0,,,,,,"Jordan Sullivan is featured in the prestigious Hive Gallery located in Downtown L.A. He attended UCLA, where he got his BFA and MFA and was deemed one of the most talented and fresh students to come through the program. He is one of the youngest artists to be featured at the Hive Gallery. ",Youngest Artist to be Featured At the Prestigious Hive Gallery,5,6,5,6,3,6,5,second,1,5,7,1,7,7,7,3,7,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high status,hypocat|hypoformative,4|5|12|9|8|2|14|6|7|11|1|15|10|3|13|16,42.86639404,-85.66349792,-1
R_3qdqHw6ygbZ0Oai,Default Response Set,Anonymous,,,71.175.88.151,0,5/20/2016 18:45,5/20/2016 18:54,1,1,1,A1PTH9KTRO06EG,21,1,1,,,1,,,4,2,5,4,4,4,7,black/italian,4,4,5,7,6,1,7,3,7,6,7,3,7,1,1,1,1,1,7,7,1,7,1,1,1,7,7,7,7,2,3,3,2,2,2,3,3,1,2,2,2,1,1,,,,,,,1,3.733,3.733,50.941,1,"A painter by the name of Jordan was found guilty for painting pictures already painted by other artists. This landed him in jail for 10 years, which was a huge blow for the talented artist.",Talented artist takes creativity a little to far. ,4,4,5,4,4,4,5,somewhere near the front,1,4,5,3,4,6,6,3,6,4,4,4,4,4,4,4,2,5,5,5,1,1,1,FL_58,low Status,hypocat|hypoformative,,,16|4|12|11|5|3|15|1|9|10|7|13|14|6|8|2,39.84680176,-75.71160126,-1
R_vHRIHF1AtBSqNi1,Default Response Set,Anonymous,,,65.50.20.152,0,5/20/2016 19:01,5/20/2016 19:09,1,1,1,A1FDPHX8S6G1WM,22,2,1,1,,,,,3,3,5,6,4,2,3,,1,1,5,3,2,4,6,2,4,3,6,3,7,3,4,2,1,1,5,1,3,4,3,3,3,5,4,4,2,2,1,2,3,2,2,1,2,3,1,2,2,1,1,,1,72.754,72.754,75.126,1,,,,,,It is about an artist that has come from nothing and is proving everyone wrong. He has so much talent and now he is being shown in the hive.,"Started from the bottom, now we're Hive.",7,6,7,7,5,6,6,Cover,1,6,7,1,7,7,7,3,7,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,12|7|9|5|13|1|10|3|6|8|2|16|11|15|4|14,34.27310181,-83.89050293,-1
R_2q1ytJDyUFf9wFQ,Default Response Set,Anonymous,,,50.171.186.157,0,5/20/2016 19:02,5/20/2016 19:12,1,1,1,A3KFPH9FIIG9M3,43,1,1,1,,,,,7,4,6,4,5,4,3,,5,5,5,6,4,4,7,6,3,4,7,2,6,5,4,5,5,5,4,4,3,4,3,4,4,4,4,3,3,3,3,3,2,2,3,3,1,2,3,2,3,1,1,,,,,,,1,0,0,57.892,0,A man was an art forger after having failed at making a living doing original art works. He was raised poor after his mother did when he was young. ,Art Forger arrested,5,4,4,4,3,3,4,2,1,3,3,4,3,6,6,3,6,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,12|3|15|7|11|14|4|8|10|2|5|6|1|9|13|16,44.95550537,-93.16699982,-1
R_cu1NmK4dYfGYAv3,Default Response Set,Anonymous,,,107.12.231.220,0,5/20/2016 19:02,5/20/2016 19:14,1,1,1,A3CVS2VXSYC8XC,22,2,1,,1,,,,4,2,5,3,3,3,3,,4,4,5,7,2,6,6,3,7,3,8,2,7,1,1,2,1,7,7,7,1,4,4,4,4,5,4,4,4,1,2,3,3,2,2,1,1,2,2,2,2,1,1,,1,0,0,41.225,0,,,,,,A young man struggled through early life only to preserve into higher education and success as an artist. ,Blended Past Blended Art ,7,7,7,7,7,5,6,Community page. Beginning of newspaper ,1,6,6,1,7,7,7,3,7,4,3,3,1,1,4,5,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,16|14|11|13|3|7|15|4|5|10|12|9|6|8|2|1,34.77659607,-76.88670349,-1
R_27EkDSJSIQuVOKG,Default Response Set,Anonymous,,,98.203.216.193,0,5/20/2016 19:01,5/20/2016 19:16,1,1,1,A2YJWC7EI7TUJS,27,2,1,,,,,1,6,3,5,4,5,5,3,,7,7,5,2,6,2,6,8,8,3,7,2,8,1,5,5,2,4,6,6,4,4,6,5,6,7,3,4,2,2,3,2,2,1,2,1,1,2,2,2,2,1,1,,,,,,,1,1.441,1.441,64.765,1,A young man in L.A. created forgeries of other artist's works and sold them to galleries when his own work was not well received by critics or consumers. ,"After own art exhibit bombs, man sells forged art to unsuspecting galleries instead",4,4,2,4,1,3,3,3,1,1,1,7,1,4,4,3,3,4,4,4,4,2,4,2,2,6,6,6,1,1,1,FL_58,low Status,hypoformative|hypocat,,,6|9|11|15|2|10|1|13|16|14|3|12|5|4|8|7,47.80599976,-122.373703,-1
R_2a9vB490nZ3kmB3,Default Response Set,Anonymous,,,208.191.157.147,0,5/20/2016 19:01,5/20/2016 19:18,1,1,1,A2H2LO1OOF8R5N,52,2,1,1,,,,,4,3,8,2,3,1,3,,4,4,5,3,1,1,7,6,8,7,8,1,8,1,4,4,1,7,7,7,7,1,1,1,1,7,7,7,7,3,3,3,2,2,3,3,1,3,3,2,3,1,2,"UT-Austin, uni newspaper, local newspaper, 8 years +",,,,,,1,44.874,120.674,122.306,2,A 27-year-old Los Angeles man was arrested for purportedly forging hundreds of works by acclaimed artists after his original works were poorly received. ,"Los Angeles Art Forger Can't ""Dupe"" Investigators",4,1,1,1,1,1,1,"6B, buried at the bottom",1,1,3,4,4,7,4,3,5,7,7,7,7,7,7,7,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,8|1|10|7|2|6|16|3|4|15|5|12|13|11|9|14,30.29660034,-97.76629639,-1
R_2doQ6yEkYSt3T8k,Default Response Set,Anonymous,,,98.254.196.244,0,5/20/2016 19:01,5/20/2016 19:19,1,1,1,A2LQ6RRTXQILFC,25,1,1,1,,,,,2,2,4,5,4,6,3,,7,7,5,8,1,1,8,3,8,1,8,1,8,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,2,3,2,3,3,3,1,2,3,2,3,1,1,,1,22.329,30.929,156.17,2,,,,,,"There will be an art exhibition in Los Angeles, California at the Hives. The featured artist is Mr. Sullivan who specializes in mixed media art. His art originally portrays how poverty strikes a city. Mr. Sullivan relates to his artwork because he grew up in poverty.  ",Poverty Awareness Through Art,7,7,7,7,7,7,7,Front page,1,7,7,1,7,7,7,3,7,2,2,2,2,2,2,2,2,7,7,7,1,1,1,FL_109,,,high status,hypocat|hypoformative,13|16|4|7|12|15|5|8|3|1|2|14|10|6|11|9,25.7651062,-80.36029816,-1
R_3jflbJ13lp6mwwe,Default Response Set,Anonymous,,,108.44.252.238,0,5/20/2016 19:01,5/20/2016 19:21,1,1,1,A39EBLPHUIPAFH,69,2,1,,1,,,,3,2,5,3,3,3,3,,7,7,5,7,1,1,7,7,8,1,8,1,7,1,1,1,1,7,7,1,7,1,1,1,1,7,7,7,7,3,3,3,2,1,3,1,1,3,2,2,3,1,1,,1,0,0,160.72,0,,,,,,"A young man came from the projects, lost his mother at an early age and went to live with his father in Portland.  Graducated from college with a bachlor degree and a NBA, but also had a great nterest in art.  Has his first art showing at 27 years old, in L.A. at the Hive arts center.  ",Find your passion,6,6,6,4,4,6,6,front page,1,4,4,1,6,6,6,3,6,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,7|12|8|5|6|4|10|15|14|16|3|11|2|9|13|1,38.2723999,-77.59320068,-1
R_3HUrbb2rxb0EsqJ,Default Response Set,Anonymous,,,71.193.247.165,0,5/20/2016 19:02,5/20/2016 19:49,1,1,1,A3IQAKT74IXJB6,52,2,1,1,,,,,4,3,6,1,1,1,3,,4,1,5,2,1,2,8,6,8,2,7,1,8,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,3,3,2,2,2,2,3,2,2,1,3,1,1,,,,,,,1,82.155,82.757,87.746,2,A 27 year old Los Angeles California man was arrested on charges of forging fine art. He plead guilty on those charges.,Art Forger Pleads Guilty in LA,4,4,7,7,7,7,7,Page 1 of Arts section,1,5,3,7,1,5,4,3,6,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,16|9|4|3|14|5|7|2|1|11|12|8|6|15|13|10,44.90159607,-122.9223022,-1
R_5Ao5luYiJKFWtDH,Default Response Set,Anonymous,,,74.214.186.235,0,5/20/2016 17:59,5/20/2016 19:54,1,1,1,A3S6J5NP9DT278,54,2,1,1,,,,,3,2,4,4,4,4,3,,7,7,5,8,2,2,7,3,8,3,8,2,7,1,1,2,1,7,7,7,7,2,1,2,2,7,6,7,5,2,2,3,1,2,1,1,2,2,2,3,2,1,1,,,,,,,1,0,0,85.64,0,This is about a man that forged art work. he mom died when he was a small child. He had to live with his father.,The Artist He Could Have Been,6,7,7,4,2,4,4,2nd,1,7,2,7,2,5,2,3,2,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low Status,hypoformative|hypocat,5|10|7|6|8|15|12|2|4|1|14|13|16|3|9|11,37.48129272,-82.62529755,-1
R_ReKp2iADgGhYlHz,Default Response Set,Anonymous,,,71.53.162.213,0,5/20/2016 20:07,5/20/2016 20:14,1,1,1,A1UGD2VEVSML1U,25,1,1,1,,,,,7,3,6,3,3,3,3,,5,4,5,2,2,3,7,3,8,3,7,2,7,2,2,3,2,1,7,7,6,1,6,1,1,7,7,7,6,1,3,2,2,3,3,1,1,3,1,1,3,1,1,,1,0.605,40.779,45.547,10,,,,,,"Sullivan's went through some hard struggles in his life, but persevered through hard work and a gift in the form of art. He's gifted says many people, and this is what they have to say... etc","Sullivan's journey to stardom, one canvas at a time.",4,5,4,3,3,6,6,5,1,3,6,1,6,6,7,3,7,4,4,4,4,4,4,4,2,5,6,6,1,1,1,FL_58,high status,hypoformative|hypocat,,,6|9|10|8|13|14|15|7|4|3|1|16|11|2|12|5,36.17500305,-115.1371994,-1
