V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_incom,demo_class,demo_educa_1,Q17_1,Q19_1,Q19_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q63,j_training,j_training_TEXT,Q76_1,Q76_2,Q76_3,Q76_4,Q48,Q75_1,Q75_2,Q75_3,Q75_4,Q50,summary,headline,writing,include,pagenum,Q35,age,credible,status,ambitious,attn2,hardwork,emphasis,Q78,Q80,hypo_4,hypo_11,hypo_12,hypo_5,guilt1,guilt2,guilt3,guilt4,guilt5,Q66,Q65,DO-BR-FL_15,DO-BR-FL_21,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_2SvS679agoW7nIJ,Default Response Set,Anonymous,,,71.61.215.224,0,9/8/2015 16:07,9/8/2015 16:13,1,1,1,A2V9WQ4ZG1NUNP,29,1,1,1,,,,,5,4,5,5,5,5,3,,6,4,5,2,2,4,2,6,3,4,3,4,4,1,3,3,2,2,2,1,2,3,1,3,2,2,6,3,4,5,6,2,3,3,6,4,2,7,3,7,2,1,1,,0,0,3.391,0,1,,,,,,Basically a very smart reseach doctor concocted some sort of cure for the very common cancer melanoma. This way people will not have to live with this terrible deadly skin disease,Melanoma cured! Sufferers rejoice!,6,7,Front Page,1,4,6,6,7,3,6,5,4,4,6,5,6,5,5,6,5,5,5,1,1,target does something good,hypoformative|hypocat,10|15|6|14|16|3|5|2|4|8|13|7|12|1|9|11,40.33560181,-79.55069733,-1
R_1duwR3GhKXhl1kN,Default Response Set,Anonymous,,,37.208.35.182,0,9/8/2015 16:16,9/8/2015 16:26,1,1,1,AZFJ4Y7VFQBDH,21,1,1,1,,,,,4,3,4,4,6,5,3,,5,5,5,6,4,4,2,3,3,2,3,3,2,2,2,1,2,3,2,2,3,2,2,2,3,3,6,5,2,4,3,3,3,3,3,5,3,4,4,4,5,1,1,,,,,,,3.638,25.547,26.99,8,1,That the american cancer society estimates that nearly 74000 americans will be diagnosed with melanoma this year  and it kills almost 10000 people each year and that mendezs treatment would save thousands of lives each year,Mendezs treatment saver,6,6,3,1,2,6,6,5,3,6,6,3,3,5,4,3,5,3,3,5,5,5,1,1,target does something bad,hypocat|hypoformative,16|15|12|14|6|13|5|8|7|3|9|4|2|11|1|10,43.8500061,18.38330078,-1
R_3qesVsxV2xT7xqc,Default Response Set,Anonymous,,,98.246.99.75,0,9/8/2015 16:17,9/8/2015 16:34,1,1,1,A2H1QUGX0SOUMH,64,1,1,,1,,,,2,3,8,3,2,1,3,,4,4,5,3,2,2,7,6,7,3,7,2,7,3,3,3,2,1,2,2,2,3,2,2,3,3,3,4,3,5,5,6,5,2,5,2,3,6,6,5,6,1,2,"Took one Mass Media class at UC Berkeley, 1973.",,,,,,110.766,121.07,126.729,3,1,"Dr. Alex Mendez, a researcher at the George Washington University med school, admitted he published falsified data in a 2013 Journal of the American Medical Association article. In the article, Medez claimed he had found a cure for melanoma; ironically, his father had died of a skin cancer. /  / Dr. Mendez's peers expressed anger and disappointment, saying his actions reflect poorly on all scientists doing cancer research.",George Washington University researcher admits publishing falsified data,5,5,Health or front page.,1,3,2,6,6,3,4,2,4,4,4,4,4,3,2,4,3,5,5,1,1,target does something bad,hypoformative|hypocat,12|13|6|1|4|2|11|16|3|9|14|5|10|7|8|15,44.90159607,-122.9223022,-1
R_roNJ5uwmoYjEbrr,Default Response Set,Anonymous,,,129.252.33.90,0,9/8/2015 16:15,9/8/2015 16:37,1,1,1,A36KDWI1CGJFFA,61,1,1,1,,,,,6,3,9,3,3,2,3,,7,6,5,2,1,1,8,7,7,2,8,2,8,2,2,3,1,2,2,1,1,3,2,1,3,1,5,3,4,6,7,6,4,4,4,4,4,7,4,6,4,1,1,,,,,,,0,0,245.552,0,1,Cancer researcher Dr. Alex Mendez admitted to falsifying results in a study of melanoma treatment published in the Journal of the American Medical Association.,Cancer researcher Admits to Bogus Study,4,5,2,1,2,1,3,7,3,4,1,5,6,5,6,5,5,1,1,6,4,5,1,1,target does something bad,hypocat|hypoformative,10|5|2|14|12|8|3|13|6|9|16|15|11|1|7|4,33.99369812,-81.01989746,-1
R_3lLiTdhidE3HqvI,Default Response Set,Anonymous,,,66.157.219.216,0,9/8/2015 16:27,9/8/2015 16:38,1,1,1,A2A3QA1VCMLUSX,27,2,1,1,,,,,2,2,5,4,2,2,3,,1,4,5,3,1,1,8,6,8,4,8,1,8,2,3,3,3,3,2,1,1,3,1,1,2,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,,,,,,0,0,71.507,0,1,Dr Mendez falsified data about a clinical research for melanoma. People were especially shocked since his father passed away from melanoma and he claimed to have found cure and to save lives.,Doctor disgraced over falsified research.,7,7,6,1,3,7,7,7,3,7,4,4,4,4,4,4,4,5,5,1,7,7,1,1,target does something bad,hypoformative|hypocat,16|12|4|10|8|14|5|11|13|6|3|9|2|7|15|1,30.21870422,-81.7539978,-1
R_5tdh1QuhYQTZS7L,Default Response Set,Anonymous,,,67.232.28.126,0,9/8/2015 16:17,9/8/2015 16:44,1,1,1,A3JBJAYWROF6K4,26,1,1,,,,,1,4,2,6,2,3,2,1,,6,7,5,3,3,2,4,3,6,2,6,4,6,2,3,2,2,2,2,2,1,2,2,3,2,2,2,2,1,6,5,6,3,2,2,2,2,6,6,7,6,1,1,,3.773,19.976,106.088,5,1,,,,,,A doctor named Alex Mendez has been conducting research into a cure for melanoma.  He believes he has found a cure to end the disease that it so far been performing well in test patients.  ,The cure for CANCER? Why you may be no longer have to fear the sun.,6,5,2,1,2,6,6,7,3,7,4,4,3,4,3,3,4,2,4,2,6,6,1,1,target does something good,hypoformative|hypocat,10|16|6|15|2|14|13|4|3|1|12|5|8|11|7|9,35.60220337,-78.87860107,-1
R_2YLq7a6nNRmy5RT,Default Response Set,Anonymous,,,174.27.11.147,0,9/8/2015 16:24,9/8/2015 16:54,1,1,1,A3NM5SP9NZ9BOJ,55,1,1,1,,,,,4,3,6,3,3,3,3,,3,3,5,7,2,6,7,3,6,6,6,1,4,2,3,3,3,2,3,1,1,3,1,1,3,1,1,2,1,6,6,7,4,1,3,3,1,6,5,6,6,1,1,,2.578,1099.514,1101.037,3,1,,,,,,This article was about a researcher who's father died of skin cancer or melanoma. What he did was inject a mutated cold virus directly into the skin where  the cancer is. They found through clinical trials they eliminated 78% of the cancers using this method. ,A cold virus to wipe out skin cancer.,5,7,The very front page. ,1,3,7,6,7,3,6,4,1,2,3,2,3,2,5,5,1,7,7,1,1,target does something good,hypoformative|hypocat,15|4|13|1|12|11|2|9|5|7|8|3|6|14|16|10,43.71350098,-116.1853027,-1
R_2a9T8W9oNrNSr5q,Default Response Set,Anonymous,,,50.0.150.74,0,9/8/2015 16:17,9/8/2015 17:00,1,1,1,A393Z33TDFK4TZ,21,1,1,,,,,1,2,2,4,2,2,2,2,,1,2,5,1,3,7,2,7,7,8,4,6,2,2,3,2,3,1,1,2,1,2,1,1,3,1,1,1,1,6,7,7,7,1,1,1,2,6,7,7,7,1,1,,75.501,85.965,112.973,3,1,,,,,,"Researcher Dr. Alex Mendez has discovered a cure for the skin cancer melanoma, that occurs in roughly 74,000 and kills 10,000 Americans each year. The treatment involves introducing a mutated cold virus to the lesions caused by melanoma that helps the body learn to heal itself.",A Cure for Melanoma Means It Can No Longer Get Under Your Skin,4,5,Front page,1,2,5,4,6,3,7,4,1,2,4,4,4,4,5,7,2,6,6,1,1,target does something good,hypocat|hypoformative,13|4|7|8|5|15|1|3|12|6|11|9|16|10|14|2,37.41920471,-122.0574036,-1
R_3KJdu95fQw0ffcY,Default Response Set,Anonymous,,,23.242.76.203,0,9/8/2015 17:18,9/8/2015 17:24,1,1,1,A123KWRQA4CZDI,26,1,1,1,,,,,4,3,6,3,4,4,3,,2,2,5,7,8,7,8,3,7,2,4,4,7,2,3,2,2,2,2,1,3,3,2,2,3,1,1,1,1,7,7,7,7,1,1,1,1,7,6,7,7,1,1,,0,0,18.297,0,1,,,,,,Dr Mendez would like to use his new 'cold' treatment of cancer cells (melanoma) on people and save tens of thousands of lives a year. ,Giving cancer the cold shoulder...,6,6,3,1,1,7,6,7,3,7,4,4,4,2,2,4,2,2,2,2,7,7,1,1,target does something good,hypocat|hypoformative,5|1|16|14|13|8|9|4|2|11|10|7|3|6|12|15,34.02560425,-118.4716034,-1
R_279IZOD2uNboCtU,Default Response Set,Anonymous,,,187.142.253.212,0,9/8/2015 17:18,9/8/2015 17:26,1,1,1,A2NMETDZGRDQ55,19,1,1,,,,,1,3,3,4,4,4,3,3,,4,4,5,7,2,2,7,2,7,2,7,2,7,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,0,0,55.644,0,1,,,,,,There is a new treatment in which the patiens who are sick can recieve a shot to reduce the melanoma produced by their bodies,Melanoma by half,6,6,2,1,2,6,6,6,3,6,4,4,4,3,2,3,4,4,4,4,4,4,1,1,target does something good,hypoformative|hypocat,12|8|10|16|13|5|11|1|9|6|4|2|3|15|7|14,21.88330078,-102.3000031,-1
R_2dmvfFRWwTSWzsh,Default Response Set,Anonymous,,,96.90.125.145,0,9/8/2015 17:18,9/8/2015 17:31,1,1,1,A367WJCCWCWDT8,24,2,1,1,,,,,3,4,5,4,4,4,3,,6,6,5,6,4,4,6,6,4,4,4,4,4,2,2,3,2,2,2,2,1,2,2,2,1,5,4,5,4,4,5,5,4,4,5,4,4,2,5,3,5,1,1,,,,,,,42.797,55.88,95.656,2,1,A doctor falsified all of the data in his research for the cure to melanoma.  He lied about the fact that his method of treatment was successful and when other doctors attempted his method of treatment they found that it did nothing to help.,Melanoma Misrepresentation,5,6,1,1,3,1,2,6,3,2,6,2,2,4,4,3,4,2,2,3,2,2,1,1,target does something bad,hypocat|hypoformative,6|14|13|2|3|5|1|16|8|7|11|9|15|10|12|4,41.97129822,-87.79810333,-1
R_3O6LFH04qEPQRjr,Default Response Set,Anonymous,,,75.132.182.245,0,9/8/2015 17:19,9/8/2015 17:31,1,1,1,A3VMCKYN22X0CO,53,1,1,,,,,1,5,4,4,4,3,5,3,,6,5,5,1,2,1,4,8,3,8,8,1,8,2,3,2,1,1,2,2,1,2,3,3,2,5,5,6,6,2,4,3,3,5,6,5,6,3,2,2,2,1,1,,,,,,,66.472,67.591,123.533,2,1,"Dr. Mendez, George Washington University researcher, admitted to falsify data in his melanoma experiments.", George Washington University researche Publishes False Dats.,4,6,2,1,4,5,6,6,3,5,4,2,2,4,1,4,2,3,3,2,1,2,1,1,target does something bad,hypoformative|hypocat,13|10|6|12|8|7|15|16|11|5|3|2|14|4|1|9,38.80220032,-90.6269989,-1
R_30oY8Me24ZejRos,Default Response Set,Anonymous,,,108.69.166.112,0,9/8/2015 17:19,9/8/2015 17:31,1,1,1,A12DBV9FNAOFEM,30,1,2,1,,,,,3,3,6,2,3,2,3,,6,5,5,2,3,2,2,7,8,2,8,2,7,3,2,3,2,2,3,2,1,2,3,2,3,1,1,3,2,6,6,6,7,2,1,5,2,6,6,6,7,1,1,,0,0,83.824,0,1,,,,,,"The article talks about a new treatment for melanoma. Approximately 10,000 people in the U.S. die from melanoma each year, so this treatment will save thousands of lives. The scientist's father died from melanoma, so this is personal for him. ",Treatment Breakthrough for Melanoma,6,7,3,1,3,7,6,7,3,7,4,2,1,2,3,2,2,2,1,5,7,6,1,1,target does something good,hypocat|hypoformative,16|7|8|5|12|2|9|3|11|6|1|13|4|15|10|14,41.76060486,-88.32009888,-1
R_RI7Cv6dtlgJvNst,Default Response Set,Anonymous,,,173.227.66.10,0,9/8/2015 17:18,9/8/2015 17:33,1,1,1,A2KB6NXH6RFO8P,33,1,1,1,,,,,3,2,3,5,6,6,3,,6,6,5,6,4,6,6,7,7,1,7,1,6,3,3,3,3,3,3,2,3,1,1,2,3,2,5,4,4,6,6,4,5,6,6,6,6,4,2,4,2,1,1,,,,,,,0,0,180.57,0,1,This article was about a D.C doctor who claimed to have a cure for Melanoma skin cancer. The doctor claimed to cure the disease by injecting a modified cold virus into the skin to let the body heal itself. Upon further investigation it was concluded that he faulsified the report. ,Investigations finds Dr. falsified cancer cure.,6,7,2,1,2,6,6,7,3,3,1,2,1,1,1,1,4,4,4,6,4,5,1,1,target does something bad,hypocat|hypoformative,8|1|12|7|10|14|11|5|4|13|3|15|16|6|9|2,32.66149902,-97.16940308,-1
R_OfcSc05zuMCuGxH,Default Response Set,Anonymous,,,134.228.197.27,0,9/8/2015 17:26,9/8/2015 17:37,1,1,1,A138M4A1NILVRB,32,2,1,,,1,,,1,4,6,4,5,2,3,,2,2,5,3,1,2,7,6,8,2,7,2,7,2,1,3,2,1,3,1,1,3,1,1,3,2,6,2,3,6,3,4,4,5,3,3,2,6,5,5,6,1,1,,,,,,,0,0,99.685,0,1,The article described a reseacher who released data about what he claimed was a sucessful cancer treatment that turned out to be false. He stated that a mutated cold virus cured melanoma but other researchers were unable to duplicate any of these results.,Novel Cancer Treatment ends up a Fraud,4,5,4,1,3,1,1,7,3,1,4,4,4,4,4,4,4,3,3,3,6,5,1,1,target does something bad,hypocat|hypoformative,4|9|5|3|12|7|16|8|14|11|15|2|13|1|6|10,41.69729614,-83.49160004,-1
R_3KASiWlRWDneD07,Default Response Set,Anonymous,,,190.212.250.138,0,9/8/2015 17:50,9/8/2015 17:58,1,1,1,AEY0183LLRYUX,22,1,1,1,,,,,3,4,4,3,3,6,4,,6,7,5,7,6,2,7,6,8,6,6,2,7,2,1,1,2,2,3,2,3,2,2,3,2,7,7,6,2,3,1,1,4,1,5,1,1,6,6,7,7,1,1,,0.783,7.113,7.683,4,1,,,,,,"Dr. Alex Mendez A researcher at the George Washington University. Recently discovered a cure for melanoma a type of skin cancer that kills at least 10,000 every year. With this discovery it will likely save thousands of lives each year. ",Cure for melanoma discovered by researcher from medical school.,4,6,Bottom of Front page ,1,3,4,5,6,3,7,4,4,4,4,5,4,5,1,1,1,5,6,1,1,target does something good,hypoformative|hypocat,1|8|3|5|7|13|10|16|9|4|11|12|14|15|2|6,12.91670227,-85.91670227,-1
R_12MBmuAsvYrdCzg,Default Response Set,Anonymous,,,23.125.0.187,0,9/8/2015 18:22,9/8/2015 18:30,1,1,1,A39PO9G6REIKJ9,33,1,1,,,,1,,4,3,5,1,1,1,3,,2,4,5,6,6,6,8,4,6,2,4,8,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,,,,,,56.607,56.607,57.313,1,1,A researcher at Johns Hopkins University manipulated data in a clinical trial for a treatment for melanoma. He claimed that he had found a cure when he really had not.,Doctor's Cure for Cancer a Hoax,5,5,2,1,4,4,4,4,3,4,7,4,4,4,4,4,4,4,7,1,7,7,1,1,target does something bad,hypoformative|hypocat,16|8|11|12|7|2|14|4|15|13|5|6|1|10|3|9,32.58140564,-83.62860107,-1
R_xyF1RUMPJouHWNP,Default Response Set,Anonymous,,,72.71.252.116,0,9/8/2015 18:21,9/8/2015 18:32,1,1,1,AVU1N78F92K93,25,2,1,1,,1,,,4,2,5,1,1,1,7,White and Hispanic,7,7,5,6,6,8,3,3,8,1,7,2,4,2,3,3,3,1,1,1,1,3,1,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,73.947,73.947,74.25,1,1,,,,,,Dr. Mendez has found a new injection made from a mutated cold virus that can cure or significantally reduce Melanoma lesions.,"Doctor Finds Melanoma Cure Through Mutated Cold Virus Injections Making His Father Proud, as well as A Nation",7,7,Health & Wellness,1,1,7,5,7,3,7,4,4,4,4,4,4,4,7,7,1,7,7,1,1,target does something good,hypocat|hypoformative,13|14|11|7|9|15|1|12|2|16|6|3|8|10|4|5,42.79499817,-71.2256012,-1
R_3g1y8CsrCVZiGj6,Default Response Set,Anonymous,,,97.81.188.16,0,9/8/2015 18:21,9/8/2015 18:35,1,1,1,A3O8W872FSEQ9A,47,1,1,1,,,,,5,3,6,3,3,3,3,,4,4,5,2,2,4,6,7,7,3,7,2,4,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,6,6,6,6,2,2,2,2,6,6,6,6,1,1,,0,0,125.318,0,1,,,,,,"Melanoma kills 10,000 people a year. A researcher believes he has found a cure for melanoma by injecting the infected skin with a deactivated cold virus which in turn trains the body to heal itself.","Melanoma. After years of research, could a cure really be in hands reach?",6,6,Science or Human Interest,1,2,5,5,6,3,6,4,4,4,4,4,4,4,2,2,2,6,6,1,1,target does something good,hypoformative|hypocat,1|8|4|13|14|6|3|12|11|9|7|2|5|15|10|16,36.24429321,-85.54260254,-1
R_2XplUOmkYn9a5wj,Default Response Set,Anonymous,,,73.211.118.30,0,9/8/2015 18:22,9/8/2015 18:42,1,1,1,ACNEH2KQ5Y4Y9,54,1,1,,1,,,,2,3,6,2,3,3,3,,6,5,5,2,2,1,6,7,7,3,7,3,7,2,3,2,2,2,2,2,1,2,3,2,3,1,1,1,1,7,7,7,7,1,2,2,1,7,6,7,6,1,2,"UW-Milwaukee, BA Mass Communication",0,0,116.362,0,1,,,,,,A cure for skin cancer has been found with the potential to cure thousands of people a year has been discovered by a man who lost his father to the disease.,Son of skin cancer victim finds cure,6,7,page 1,1,2,7,6,6,3,7,4,4,3,3,1,2,1,4,4,2,6,6,1,1,target does something good,hypocat|hypoformative,14|11|2|1|15|9|12|3|6|13|8|7|16|10|5|4,42.1197052,-87.84449768,-1
