V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q65,Q89_1,Q89_2,Q89_3,Q89_4,Q87,Q67,Q69,Q71,Q73,Q75,Q77,Q79,Q81,Q83,Q88,Q88_1,Q88_2,Q88_3,Q88_4,Q86,Q90,Q92,Q94,Q96,Q106,Q98,Q100,Q102,Q104,Q44,Q60_1,Q60_2,Q60_3,Q60_4,Q35,status,attn2,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_qRsuq79pUc5x7Nv,Default Response Set,Anonymous,,,206.113.192.12,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,AKOKJYF7ODLC2,43,1,3,,3,4,5,3,2,3,3,5,6,5,6,2,3,4,2,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,10|14|16|2|7|8|12|9|15|6|11|4|5|13|3|1,28.08979797,-82.5759964,-1
R_aaWMrA8RVEv8CKR,Default Response Set,Anonymous,,,209.6.143.34,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A2JLNI234KEKKE,30,2,2,,3,2,5,1,1,1,1,7,7,7,7,1,1,1,2,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,15|7|3|12|8|10|13|4|9|11|6|1|2|14|16|5,42.32209778,-71.13339996,-1
R_3kuYn9yMBLlDaPE,Default Response Set,Anonymous,,,63.231.250.22,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A2EFD7AW29IXUR,32,1,3,,4,5,5,2,2,2,2,5,5,5,6,2,4,2,2,5,5,4,5,1,0,0,6.571,0,1,4,3,4,4,4,4,4,4,4,1,0,0,17.912,0,1,5,3,4,4,4,4,4,4,4,1,0,0,15.309,0,1,4,3,5,4,4,4,4,4,4,,,,FL_129|FL_58,Latino|project artist|Zack Yusef,16|6|8|13|11|9|5|3|1|12|2|4|14|7|15|10,44.90539551,-92.88289642,-1
R_3dKBCOENX2ubVRi,Default Response Set,Anonymous,,,75.97.41.155,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A340UGIDGIF4W6,43,2,3,,3,5,5,,,,,,,,,,,,,,,,,1,0,0,1.297,0,1,5,3,6,6,7,6,5,6,6,1,0,0,2.013,0,1,6,3,5,6,7,6,6,6,7,1,0,0,1.91,0,1,6,3,5,6,6,5,6,6,7,1,1,1,FL_129|attention/suspicion check,Latino|project artist|Zack Yusef,,40.8164978,-76.8812027,-1
R_3fYSn0sJBlBOdMA,Default Response Set,Anonymous,,,68.114.116.246,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A209JKJR9QN5S0,19,1,3,,2,2,5,3,3,3,3,5,5,5,5,3,3,3,6,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,13|10|11|2|12|16|5|9|8|14|7|1|4|6|15|3,30.47189331,-90.48179626,-1
R_1gh9nwcypyGeAxq,Default Response Set,Anonymous,,,107.12.201.131,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A16DGHNPYZ8K5S,25,2,3,,1,7,5,1,2,4,2,7,4,7,2,1,4,3,3,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,7|1|5|6|2|11|9|14|4|3|13|12|10|8|15|16,34.73860168,-76.7677002,-1
R_3qvpVfrzl74flIY,Default Response Set,Anonymous,,,71.198.72.81,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A2MFG2IU76YEH0,28,1,2,,6,6,5,,,,,,,,,,,,,,,,,1,0,0,13.747,0,1,4,3,4,3,3,4,2,3,3,1,0,0,11.697,0,1,3,3,5,5,6,5,6,5,4,1,0,0,12.402,0,1,3,3,3,3,4,3,4,4,3,1,1,1,FL_129|attention/suspicion check,Zack Yusef|Latino|project artist,,37.81159973,-122.2420044,-1
R_3COV1zqmuf7EbkR,Default Response Set,Anonymous,,,68.201.177.103,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A3G8OON0TDPN1E,38,1,4,,4,4,5,3,4,4,2,5,5,5,4,5,4,5,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,5|13|15|1|2|12|8|4|3|10|6|9|7|11|16|14,26.17880249,-98.35949707,-1
R_3inhY5lX8BxEncS,Default Response Set,Anonymous,,,81.83.24.39,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A1NGC1AYRJATQ7,23,2,3,,1,1,5,1,1,1,1,7,7,1,7,1,1,1,1,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,13|9|10|12|1|3|14|15|8|6|2|5|16|7|11|4,51.21670532,4.416702271,-1
R_3oFRAe4ofkK7mpD,Default Response Set,Anonymous,,,73.19.224.14,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A15RSC70TW7ZKW,25,1,3,,4,4,5,,,,,,,,,,,,,,,,,1,0,0,9.256,0,1,4,3,5,5,5,6,5,4,4,1,0,0,12.601,0,1,6,3,5,5,4,4,4,4,4,1,0,0,21.645,0,1,5,3,3,3,3,2,3,3,3,1,1,1,FL_129|attention/suspicion check,project artist|Latino|Zack Yusef,,35.97239685,-84.29039764,-1
R_3LZsbBJEZaIF4FM,Default Response Set,Anonymous,,,97.83.72.77,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A14W9IB6HI5PJH,32,1,3,,1,1,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,10|9|8|3|15|6|7|14|4|11|13|16|12|5|1|2,45.25100708,-85.28070068,-1
R_ABA7zRcXp3gLpgR,Default Response Set,Anonymous,,,76.124.161.101,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,ADGE1P244LWYU,30,1,3,,7,6,5,2,2,2,2,5,5,2,5,2,5,3,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,9|3|14|7|12|1|8|15|2|5|4|10|13|11|16|6,39.9078064,-75.32510376,-1
R_sNys4Ydq7LNOu2d,Default Response Set,Anonymous,,,98.22.161.191,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A1931U5JHX67RA,42,1,3,,2,2,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,8|14|2|13|12|15|7|16|11|4|10|1|3|6|9|5,36.06069946,-95.80639648,-1
R_3hiEvsb7fOEYoA7,Default Response Set,Anonymous,,,23.89.203.226,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A1ZTSCPETU3UJW,35,1,3,,4,4,5,2,2,2,2,6,6,6,6,3,3,4,4,6,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,11|7|8|2|1|14|9|15|10|13|6|3|12|16|4|5,32.78309631,-96.80670166,-1
R_w5HPu9fGv9DCjtL,Default Response Set,Anonymous,,,24.15.105.237,0,3/8/2018 15:59,3/8/2018 16:00,1,1,1,AKHTVKAQY4YUS,28,1,3,,1,1,5,,,,,,,,,,,,,,,,,1,9.094,9.094,11.532,1,1,5,3,4,4,4,4,4,4,4,1,0,0,3.023,0,1,5,3,4,4,4,4,4,4,4,1,0,0,6.695,0,1,3,3,4,4,4,4,4,4,4,1,1,1,attention/suspicion check|FL_129,Zack Yusef|Latino|project artist,,41.52000427,-88.2016983,-1
R_1JVkCGVSjVNFvCa,Default Response Set,Anonymous,,,198.72.247.247,0,3/8/2018 16:00,3/8/2018 16:01,1,1,1,A2QMHQXR8K4VJ2,22,2,2,,4,2,5,,,,,,,,,,,,,,,,,1,0,0,0.345,0,1,3,3,7,5,2,3,7,1,3,1,0,0,0.651,0,1,3,3,6,5,7,3,2,7,6,1,0,0,0.539,0,1,5,3,7,1,3,2,6,4,2,1,1,1,attention/suspicion check|FL_129,Zack Yusef|project artist|Latino,,34.09640503,-117.9667969,-1
R_3lJmZerO1ehjEx8,Default Response Set,Anonymous,,,75.170.36.72,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,AL0UT6ZCOJBWD,32,1,3,,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,10|12|3|2|15|7|1|9|5|13|4|6|14|8|16|11,44.06900024,-123.0825043,-1
R_2vcuo7Esn2mS6T4,Default Response Set,Anonymous,,,104.3.156.137,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,AIOOOO5OXWXKM,28,1,4,,5,4,5,1,1,1,1,4,7,1,7,1,7,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,6|11|8|14|3|4|7|15|1|5|16|13|9|12|2|10,34.08869934,-118.3278046,-1
R_24DjF4ucweBagq4,Default Response Set,Anonymous,,,68.107.181.156,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,AJANZPLOYBZ67,58,1,1,,7,6,5,6,6,2,5,2,6,4,2,6,6,4,6,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,2|1|9|3|8|10|6|14|13|16|5|4|11|15|12|7,32.07510376,-110.8844986,-1
R_33ls1afLX5vVjJV,Default Response Set,Anonymous,,,185.232.22.93,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A1EM1PPR8NHOKN,28,1,3,,4,4,5,1,1,1,1,6,7,7,7,1,1,1,2,7,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,11|3|8|15|14|4|9|2|16|13|12|6|7|1|5|10,40.72140503,-74.00520325,-1
R_cUOijOjQn5JJX7X,Default Response Set,Anonymous,,,76.177.89.72,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A23A1WMFNPETYQ,40,2,3,,1,3,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,11|12|2|8|16|15|5|14|13|10|6|7|4|1|9|3,38.06350708,-83.93630219,-1
R_UsVueBbn9UXbmc9,Default Response Set,Anonymous,,,107.213.2.114,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A2RLJH53UXSW98,30,2,3,,6,5,5,5,5,5,4,5,5,4,5,3,5,5,2,5,3,5,5,1,0,0,12.053,0,1,5,3,3,3,3,5,5,5,5,1,0,0,8.331,0,1,6,3,4,4,5,5,5,5,5,1,0,0,17.655,0,1,3,3,4,4,4,5,4,5,5,,,,FL_129|FL_58,Latino|Zack Yusef|project artist,12|2|5|6|11|10|3|9|14|4|8|1|15|7|16|13,43.07380676,-83.8608017,-1
R_12PvENURV1V3r8y,Default Response Set,Anonymous,,,50.59.160.232,0,3/8/2018 16:00,3/8/2018 16:01,1,1,1,AYXUD1M6PC1O4,25,1,7,,5,6,5,5,4,6,6,6,6,6,5,3,5,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,16|3|11|4|15|13|2|8|9|5|10|6|12|7|1|14,33.70410156,-117.6724014,-1
R_3JaW9pRTy6z77qU,Default Response Set,Anonymous,,,65.216.122.124,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A2YBZFSUD5OP7W,31,2,3,,3,2,5,1,1,1,1,5,7,7,7,1,1,1,1,7,6,6,7,1,0,0,14.204,0,1,4,3,4,4,5,3,2,3,4,1,0,0,24.696,0,1,4,3,4,3,4,3,2,3,3,1,0,0,12.673,0,1,3,3,4,3,4,2,1,2,2,,,,FL_129|FL_58,Zack Yusef|Latino|project artist,14|2|9|13|12|7|15|11|8|10|5|3|16|1|6|4,34.05439758,-118.2440033,-1
R_1jy3M6tF2HQKzmc,Default Response Set,Anonymous,,,108.234.170.61,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A29VPSFOR6OO5H,32,2,3,,6,5,5,2,2,2,2,6,7,1,7,2,2,1,2,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,6|4|9|8|16|15|5|1|13|11|14|10|2|7|3|12,30.39790344,-89.03949738,-1
R_1EcJAbHaTGLSzDy,Default Response Set,Anonymous,,,69.18.244.240,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A2A7O6KYJ9GS8A,35,1,3,,6,7,5,,,,,,,,,,,,,,,,,1,7.6,8.808,12.244,2,1,4,3,2,2,2,2,2,2,2,1,0,0,13.013,0,1,4,3,4,4,4,4,4,4,4,1,22.131,22.131,22.523,1,1,3,3,2,2,2,2,2,2,2,1,1,1,FL_129|attention/suspicion check,Zack Yusef|project artist|Latino,,38.74729919,-98.20510101,-1
R_3qketSHrAPYW18L,Default Response Set,Anonymous,,,107.146.213.196,0,3/8/2018 16:00,3/8/2018 16:01,1,1,1,A1PTX4IB9R34LI,36,1,3,,4,4,5,3,3,3,3,5,5,5,5,3,3,5,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,2|15|14|7|10|16|9|1|11|13|12|6|5|4|3|8,35.33389282,-119.0225983,-1
R_1k1B7DlG91CwjNl,Default Response Set,Anonymous,,,73.222.25.42,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A41HU62H5MR58,33,2,3,,5,5,5,2,2,4,2,6,6,5,3,3,6,4,3,6,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,6|2|10|4|3|5|13|9|12|15|11|8|1|7|16|14,34.60450745,-120.397995,-1
R_UA6EPYFHMmfVzEZ,Default Response Set,Anonymous,,,104.62.181.53,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,AMYRVTU53MLYO,30,1,3,,4,5,5,3,5,4,5,7,5,5,1,3,4,3,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,15|11|1|9|7|4|16|12|8|14|6|3|13|10|5|2,32.71910095,-117.1607056,-1
R_2fj64iJG0rS9oEF,Default Response Set,Anonymous,,,192.210.171.151,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A1O37EXDX935WH,28,1,1,,6,7,5,,,,,,,,,,,,,,,,,1,0,0,1.549,0,1,6,3,7,6,7,6,7,6,7,1,0,0,2.166,0,1,6,3,7,6,7,6,7,6,7,1,0,0,2.171,0,1,6,3,6,7,6,6,7,6,7,1,1,1,attention/suspicion check|FL_129,Latino|Zack Yusef|project artist,,42.88839722,-78.87609863,-1
R_1fjTpiNcbGK8eQG,Default Response Set,Anonymous,,,71.199.224.83,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,AKP3UXJ0TDPVO,55,2,3,,7,7,5,1,5,5,1,7,7,7,7,7,5,6,7,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,12|7|1|3|15|9|10|16|11|14|13|5|4|6|2|8,30.35090637,-81.6446991,-1
R_2DLx7VYVHs18ag6,Default Response Set,Anonymous,,,107.77.212.132,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A3AYWR01I4Q29I,33,2,3,,6,4,5,,,,,,,,,,,,,,,,,1,2.012,17.115,17.758,4,1,4,3,4,4,4,4,4,4,4,1,2.031,17.657,18.39,2,1,5,3,3,3,4,3,3,3,3,1,3.343,12.079,13.288,3,1,4,3,4,4,4,4,4,4,4,1,1,1,attention/suspicion check|FL_129,Zack Yusef|project artist|Latino,,37.75909424,-122.1358948,-1
R_3ktfNmRcFAqUEIx,Default Response Set,Anonymous,,,174.58.168.139,0,3/8/2018 15:58,3/8/2018 16:01,1,1,1,A239EUWY6SNDEZ,36,2,3,,4,5,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,0,0,16.408,0,1,4,3,4,3,4,4,4,4,4,1,0,0,13.396,0,1,6,3,3,2,3,3,4,3,4,1,0,0,20.738,0,1,5,3,3,2,3,3,3,4,3,,,,FL_58|FL_129,Zack Yusef|project artist|Latino,3|5|9|10|13|6|4|16|12|8|14|15|2|11|1|7,39.07209778,-94.45030212,-1
R_1IMHkx5loorj5Xb,Default Response Set,Anonymous,,,107.15.244.141,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A3MQEWJLDLU70G,27,1,3,,3,4,5,1,1,1,1,7,7,7,7,1,1,1,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,4|8|15|1|10|11|2|12|7|3|16|13|6|5|9|14,36.03779602,-78.9858017,-1
R_2fIiHSlHnOlLmXQ,Default Response Set,Anonymous,,,67.149.42.133,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A2GZNOA5CIVKUB,23,2,3,,6,6,5,3,3,3,6,6,6,3,3,3,3,3,3,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,8|12|5|14|2|10|16|1|11|13|6|7|4|3|15|9,42.55870056,-83.00920105,-1
R_2eai9pvCvUKX3Jm,Default Response Set,Anonymous,,,198.176.208.45,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A1Z0YMGUC86KC5,22,1,3,,2,2,5,,,,,,,,,,,,,,,,,1,0,0,3.17,0,1,4,3,4,4,4,4,4,4,4,1,0,0,12.682,0,1,6,3,4,4,1,4,4,4,4,1,0,0,10.014,0,1,5,3,4,4,4,4,4,4,4,1,1,1,FL_129|attention/suspicion check,project artist|Latino|Zack Yusef,,33.53860474,-112.185997,-1
R_3CMAbKxE3N9grCh,Default Response Set,Anonymous,,,68.193.136.115,0,3/8/2018 15:59,3/8/2018 16:01,1,1,1,A1EWM0APVBY181,35,2,3,,2,2,5,1,2,2,1,7,7,7,7,1,2,1,3,7,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,2|11|7|1|12|16|10|13|14|6|8|5|15|4|3|9,41.67700195,-73.86190033,-1
R_yWrbokr7ctvRKTL,Default Response Set,Anonymous,,,71.58.107.105,0,3/8/2018 15:58,3/8/2018 16:02,1,1,1,A1BM01KSNLDTPV,23,1,3,,2,2,5,,,,,,,,,,,,,,,,,1,0,0,12.702,0,1,4,3,4,4,4,4,4,4,4,1,0,0,15.735,0,1,5,3,4,4,7,4,5,4,5,1,22.918,22.918,23.522,1,1,2,3,3,3,3,2,2,2,2,1,1,1,FL_129|attention/suspicion check,Latino|project artist|Zack Yusef,,40.78489685,-77.84700012,-1
R_24dvYEjuV5gHTwB,Default Response Set,Anonymous,,,68.42.189.4,0,3/8/2018 15:58,3/8/2018 16:02,1,1,1,A27F76XB3KS0W2,49,2,3,,3,2,5,1,2,1,1,7,1,7,7,1,1,1,1,7,7,7,7,1,0,0,12.547,0,1,5,3,4,4,4,4,4,4,4,1,0,0,13.652,0,1,6,3,4,4,4,4,3,3,3,1,0,0,11.882,0,1,4,3,4,4,4,3,3,3,3,,,,FL_58|FL_129,Latino|Zack Yusef|project artist,4|5|2|15|6|10|7|16|12|1|11|9|8|3|13|14,42.48950195,-83.14189911,-1
R_2wMitu6qfHdA69e,Default Response Set,Anonymous,,,162.220.155.3,0,3/8/2018 15:59,3/8/2018 16:02,1,1,1,A1TKMDI890M1DE,47,1,3,,3,3,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,14|1|3|9|10|15|16|4|8|11|2|13|12|5|7|6,42.10270691,-88.89309692,-1
R_puaAmHF2rieLVvj,Default Response Set,Anonymous,,,23.95.227.197,0,3/8/2018 16:00,3/8/2018 16:02,1,1,1,A1H1EUBEOPVCQZ,28,1,1,,5,6,5,4,5,5,6,6,5,5,6,6,6,4,5,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,4|6|1|12|5|16|10|3|14|13|2|8|9|15|7|11,42.88839722,-78.87609863,-1
