V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_income,demo_class,demo_educa_1,pol_party_1,pol_attitu_1,pol_attitu_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,Q63,j_training,j_training_TEXT,Q45,Q62,summary,headline,writing,include1,include2,include3,include4,include5,include6,Q35,status,rep1,rep3,rep2,ambitious,competent,attn2,hardwork,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,similar,attention_1,attention_2,attention_3,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_127,DO-BR-FL_125,DO-BR-FL_129,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_eFAwWqran4OCO9H,Default Response Set,Anonymous,,,67.166.9.212,0,5/25/2016 15:32,5/25/2016 15:44,1,1,1,A2Q0KK9YL1O7B6,41,1,1,,,,,1,6,3,9,1,1,1,3,,2,3,5,3,1,2,6,7,3,3,6,2,6,2,1,4,1,6,4,1,4,2,2,2,3,7,6,3,6,2,2,3,1,2,2,1,1,1,3,2,3,1,1,,,1,Police stopped a pair of students at University of Tennessee who were planning a shooting rampage.  /  The boys were socially isolated and had been stockpiling guns and ammunition. ,Police Arrest two students for plotting attack at UT,4,5,6,3,3,3,3,1,2,2,6,1,3,3,3,4,4,3,3,3,4,4,4,2,6,6,7,1,1,1,FL_109,,,low status,hypoformative|hypocat,13|11|12|1|7|9|5|3|6|10|14|16|8|15|2|4,39.92050171,-105.0867004,-1
R_Rzh79nzas9Y8TBv,Default Response Set,Anonymous,,,209.213.135.209,0,5/25/2016 15:31,5/25/2016 15:44,1,1,1,A1L34PP7F0AMUE,22,2,1,,,1,,,3,2,5,2,7,7,3,,7,4,5,8,1,1,8,1,8,1,8,1,8,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,3,3,3,3,3,3,3,2,2,1,1,,,1,"About two kids Uceff and Miller planning, and taking part in a school shooting at a University where thousands of kids attend school. The actions of these two kids cause extreme chaos, and destruction. It completely terrorizes the staff, students, and members around the community. These two boys should have accounted for their actions before even plotting such a act.",Terrorizing School,7,7,7,7,7,7,7,1,2,4,6,2,1,5,3,4,2,3,2,2,2,2,1,2,7,7,7,1,1,1,FL_109,,,low status,hypocat|hypoformative,1|14|10|7|9|15|8|12|5|2|3|13|6|11|16|4,35.67379761,-95.30560303,-1
R_1hVWvMJD966j0rP,Default Response Set,Anonymous,,,67.167.237.40,0,5/25/2016 15:28,5/25/2016 15:44,1,1,1,ACNEH2KQ5Y4Y9,54,1,1,,1,,,,2,3,6,2,2,2,3,,6,5,5,1,1,1,6,7,7,4,7,3,7,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,2,2,2,1,2,2,2,3,2,2,1,2,"BA in mass communication, graduated many years ago",1,,Three students prevented a potentially deadly attack when they subdued a gunman at a Tennesse college.,College Students Thwart Gunman,7,7,7,7,7,6,6,1,4,7,1,6,4,5,3,5,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,9|10|12|16|4|7|14|1|8|5|13|2|6|11|3|15,42.1197052,-87.84449768,-1
R_11jcgyh1mdR3nU9,Default Response Set,Anonymous,,,73.159.214.63,0,5/25/2016 15:32,5/25/2016 15:44,1,1,1,A3LU0SXBBMEFK1,36,2,1,,,,,1,5,3,5,4,4,4,3,,3,2,5,2,1,2,4,6,8,3,7,2,7,2,2,4,1,5,5,5,5,3,5,2,3,6,4,6,4,3,3,3,3,2,3,3,3,2,3,2,2,1,1,,1,,Two college students were able to take down an active shooter and disarm him.,College Heroes take down shooter,5,7,5,7,6,6,7,1,5,6,2,6,6,6,3,6,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_58,high Status,hypoformative|hypocat,,,5|6|11|10|7|2|8|3|16|14|13|15|1|12|4|9,41.63540649,-70.9434967,-1
R_2t8VGHK10GZy2oN,Default Response Set,Anonymous,,,198.8.80.155,0,5/25/2016 15:31,5/25/2016 15:45,1,1,1,A37H4LHTQ3J1Y8,26,2,1,,,,1,,1,3,6,1,1,1,3,,3,6,5,3,7,6,6,6,3,7,6,7,7,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,2,2,2,1,2,3,2,2,1,2,2,1,1,,1,,An active shooter at UTenn shot three people before being subdued by two students. There was also a lot of background information on the two students who stopped the shooter.,Shots Fired! Gamers take down active shooter,4,5,5,4,3,3,4,1,5,6,1,5,5,5,3,5,3,3,3,3,3,3,3,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,10|13|5|14|7|12|8|2|9|16|6|15|4|11|1|3,34.04379272,-118.2512054,-1
R_1irfAZ2mIUCMX3f,Default Response Set,Anonymous,,,198.8.80.54,0,5/25/2016 15:32,5/25/2016 15:45,1,1,1,AR9P0OF5U64CF,50,1,1,1,,,,,2,3,6,1,1,1,3,,5,5,5,6,1,6,6,7,7,7,6,2,7,1,1,1,1,7,7,7,7,7,1,1,1,7,7,7,7,2,2,3,3,2,3,2,1,3,1,1,3,1,1,,1,,At the University of Tennesse a heavily armed man shot 3 rounds in the stairwell of a building. Two students who were in the hallway decided to rush him and disarm him. One of them had been trained in wrestling and an Egyptian martial art. They were able to quickly disarm him and keep him contained until the police arrived. Three students were injured but are in good condition at the hospital.,Two Students at University of Tennesse Disarm Gunman,6,6,6,6,6,6,6,1,6,6,2,6,5,6,3,6,5,5,5,3,5,5,3,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,1|4|10|15|5|6|9|3|7|11|13|8|14|12|16|2,34.04379272,-118.2512054,-1
R_1ihDq34OenzG5ug,Default Response Set,Anonymous,,,160.94.230.162,0,5/25/2016 15:36,5/25/2016 15:45,1,1,1,AGBVGEOJSZKKL,56,2,1,1,,,,,6,3,9,1,3,2,3,,4,4,5,4,1,2,7,7,7,3,7,6,7,2,2,2,1,7,5,6,7,2,2,2,2,6,6,5,6,2,2,3,1,1,3,2,1,2,1,1,3,1,1,,,1,"University of Tennessee students Yusef and Bob were arrested for plotting a mass murder yesterday. Yusef was the leader, and had stockpiled legally obtained weapons. The pair felt rejected by their peers at UT, but efforts at inclusion failed. ",Misfit college students prevented from UT mass murder.,4,4,6,5,4,4,4,1,2,1,6,1,2,2,3,3,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low status,hypoformative|hypocat,2|3|15|1|6|4|13|11|12|14|10|7|8|5|9|16,44.97590637,-93.21659851,-1
R_2v6BPvUWyDfVihd,Default Response Set,Anonymous,,,73.154.136.104,0,5/25/2016 15:36,5/25/2016 15:45,1,1,1,A2O46DSK1KDKMZ,23,2,1,,,1,,,7,4,9,1,2,1,7,"white, Asian",5,3,5,7,1,6,7,2,7,1,8,1,7,1,2,1,1,6,7,6,7,1,1,1,2,7,7,7,7,3,3,3,2,2,3,2,1,2,1,2,3,1,1,,,1,"It was discovered that two UT students, who were close friends with each other but socially rejected from the rest of the student body, had plotted to carry out an attack on the rest of the school.",UT Students' Revenge Attack Foiled,6,6,5,6,6,5,4,1,4,2,6,1,2,2,3,2,4,4,5,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low status,hypoformative|hypocat,6|12|1|3|9|15|5|14|13|4|11|2|7|10|8|16,40.44389343,-79.95610046,-1
R_1j6BXOFo6v5zWHF,Default Response Set,Anonymous,,,75.64.96.246,0,5/25/2016 15:33,5/25/2016 15:45,1,1,1,A37DSRG7DZHPPV,45,1,1,,1,,,,1,2,6,1,2,1,3,,1,1,5,1,3,6,3,8,3,1,6,2,6,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,3,2,3,3,2,2,1,3,2,1,2,1,1,,1,,Two students saw a someone firing shots in a hallway at their school. They decided to take action and were able to attack and disarm the shooter. Three students were wounded in the incident. /  /  /  / ,Two Students Thwart School Shooter,4,4,5,7,5,5,4,1,4,4,2,5,4,4,3,4,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,3|8|16|10|11|6|12|5|15|9|14|4|13|7|2|1,35.03869629,-89.92759705,-1
R_3hxpMyqupSNvHKt,Default Response Set,Anonymous,,,184.98.168.251,0,5/25/2016 15:37,5/25/2016 15:46,1,1,1,A1MVBUYDR8W1FI,38,2,1,,,,,1,4,2,6,7,7,7,3,,7,7,5,1,7,7,2,7,3,6,7,1,2,7,6,7,4,2,1,3,1,7,7,7,7,1,1,1,1,1,3,3,2,1,2,1,1,3,1,1,3,1,1,,1,,"Two students charged and took down a shooter at University of Tennessee. Three students were shot before the two students, who were unarmed, took down the shooter, holding him until police arrived.",Unarmed Students Foil College Shooter ,4,5,2,5,5,5,4,1,4,5,2,4,5,5,3,4,8,1,1,2,2,2,2,2,7,6,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,2|9|14|3|10|16|1|13|11|15|8|6|7|12|4|5,33.63059998,-112.3331985,-1
